Network storage, 0.005920782301123883%, 150000
Software, 1.0657408142022988%, 27000000
Tablet computers, 0.2920919268554449%, 7400000
Consumer electronics, 4.432613405677398%, 112298000
Audio equipment, 0.008289095221573436%, 210000
Camcorders, 0.011446845782172841%, 290000
Cameras, 0.3947188200749256%, 10000000
GPS devices, 0.013025721062472542%, 330000
Game consoles, 0.4736625840899106%, 12000000
Mobile phones, 1.2631002242397615%, 32000000
Portable media players, 0.007499657581423585%, 190000
Projectors, 0.00386824443673427%, 98000
Smartphones, 0.7104938761348659%, 18000000
Televisions, 1.5394033982922095%, 39000000
eBook readers, 0.00710493876134866%, 180000
